U+27C0 	THREE DIMENSIONAL ANGLE (U+27C0) 	⟀ 	code2000
U+27C1 	WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE (U+27C1) 	⟁ 	code2000
U+27C2 	PERPENDICULAR (U+27C2) 	⟂ 	code2000
U+27C3 	OPEN SUBSET (U+27C3) 	⟃ 	code2000
U+27C4 	OPEN SUPERSET (U+27C4) 	⟄ 	code2000
U+27C5 	LEFT S-SHAPED BAG DELIMITER (U+27C5) 	⟅ 	code2000
U+27C6 	RIGHT S-SHAPED BAG DELIMITER (U+27C6) 	⟆ 	code2000
U+27C7 	OR WITH DOT INSIDE (U+27C7) 	⟇ 	code2000
U+27C8 	REVERSE SOLIDUS PRECEDING SUBSET (U+27C8) 	⟈ 	code2000
U+27C9 	SUPERSET PRECEDING SOLIDUS (U+27C9) 	⟉ 	code2000
U+27CA 	VERTICAL BAR WITH HORIZONTAL STROKE (U+27CA) 	⟊ 	code2000
U+27CB 	MATHEMATICAL RISING DIAGONAL (U+27CB) 	⟋ 	symbola
U+27CC 	LONG DIVISION (U+27CC) 	⟌ 	code2000
U+27CD 	MATHEMATICAL FALLING DIAGONAL (U+27CD) 	⟍ 	symbola
U+27CE 	SQUARED LOGICAL AND (U+27CE) 	⟎ 	symbola
U+27CF 	SQUARED LOGICAL OR (U+27CF) 	⟏ 	symbola
U+27D0 	WHITE DIAMOND WITH CENTRED DOT (U+27D0) 	⟐ 	code2000
U+27D1 	AND WITH DOT (U+27D1) 	⟑ 	code2000
U+27D2 	ELEMENT OF OPENING UPWARDS (U+27D2) 	⟒ 	code2000
U+27D3 	LOWER RIGHT CORNER WITH DOT (U+27D3) 	⟓ 	code2000
U+27D4 	UPPER LEFT CORNER WITH DOT (U+27D4) 	⟔ 	code2000
U+27D5 	LEFT OUTER JOIN (U+27D5) 	⟕ 	code2000
U+27D6 	RIGHT OUTER JOIN (U+27D6) 	⟖ 	code2000
U+27D7 	FULL OUTER JOIN (U+27D7) 	⟗ 	code2000
U+27D8 	LARGE UP TACK (U+27D8) 	⟘ 	code2000
U+27D9 	LARGE DOWN TACK (U+27D9) 	⟙ 	code2000
U+27DA 	LEFT AND RIGHT DOUBLE TURNSTILE (U+27DA) 	⟚ 	code2000
U+27DB 	LEFT AND RIGHT TACK (U+27DB) 	⟛ 	code2000
U+27DC 	LEFT MULTIMAP (U+27DC) 	⟜ 	code2000
U+27DD 	LONG RIGHT TACK (U+27DD) 	⟝ 	code2000
U+27DE 	LONG LEFT TACK (U+27DE) 	⟞ 	code2000
U+27DF 	UP TACK WITH CIRCLE ABOVE (U+27DF) 	⟟ 	code2000
U+27E0 	LOZENGE DIVIDED BY HORIZONTAL RULE (U+27E0) 	⟠ 	code2000
U+27E1 	WHITE CONCAVE-SIDED DIAMOND (U+27E1) 	⟡ 	code2000
U+27E2 	WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK (U+27E2) 	⟢ 	code2000
U+27E3 	WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK (U+27E3) 	⟣ 	code2000
U+27E4 	WHITE SQUARE WITH LEFTWARDS TICK (U+27E4) 	⟤ 	code2000
U+27E5 	WHITE SQUARE WITH RIGHTWARDS TICK (U+27E5) 	⟥ 	code2000
U+27E6 	MATHEMATICAL LEFT WHITE SQUARE BRACKET (U+27E6) 	⟦ 	code2000
U+27E7 	MATHEMATICAL RIGHT WHITE SQUARE BRACKET (U+27E7) 	⟧ 	code2000
U+27E8 	MATHEMATICAL LEFT ANGLE BRACKET (U+27E8) 	⟨ 	code2000
U+27E9 	MATHEMATICAL RIGHT ANGLE BRACKET (U+27E9) 	⟩ 	code2000
U+27EA 	MATHEMATICAL LEFT DOUBLE ANGLE BRACKET (U+27EA) 	⟪ 	code2000
U+27EB 	MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET (U+27EB) 	⟫ 	code2000
U+27EC 	MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET (U+27EC) 	⟬ 	code2000
U+27ED 	MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET (U+27ED) 	⟭ 	code2000
U+27EE 	MATHEMATICAL LEFT FLATTENED PARENTHESIS (U+27EE) 	⟮ 	code2000
U+27EF 	MATHEMATICAL RIGHT FLATTENED PARENTHESIS (U+27EF) 	⟯ 	code2000